entity	id
about_45	0
aid	1
angle	2
anterior_deltoid	3
anything	4
article	5
assists	6
back	7
bar	8
bar_path	9
barbell_bench_press	10
bench	11
bench_press	12
bench_press_performance	13
both_pecs	14
chest_and_triceps_development	15
clavicular_part_sternocostal_part_abdominal_part	16
contractile_force	17
current_grip	18
current_muscle_mass	19
decline_bench_press	20
descent	21
different_angles	22
different_grip_widths	23
distal_prime_movers	24
downward_force	25
eccentric_muscle_action	26
eccentric_phase	27
elbow	28
elbow_extension	29
elbow_extensor_moment	30
elbow_flexion_moments	31
elite_athletes	32
elite_powerlifters	33
entity_131157_lateral_forces	34
entity_15_decline	35
entity_30_inclination	36
entity_45_pounds	37
excessive_lumbar_extension	38
extra_kick	39
few_people	40
first_things	41
flexor	42
floor	43
force	44
forearms	45
four_basic_ways	46
furniture	47
gravity	48
greater_horizontal_shoulder_moments	49
greater_shoulder_flexion_moment	50
grip_width	51
grip_widths	52
hand_off	53
horizontal_flexion_demands	54
horizontal_force_component	55
horizontal_forces	56
inches	57
incline	58
incline_bench_press	59
incline_press	60
increases	61
injury_risk	62
internal_moment_arm	63
internal_moments	64
joint_angles	65
kinds	66
kinematic_factors	67
large_enough_internal_extensor_moments	68
lateral_forces	69
lateral_triceps	70
laterally_directed_resultant_forces	71
less_shoulder_horizontal_abduction	72
lifter	73
light	74
little_further_explanation	75
load	76
long_head	77
lower_pectoralis_major	78
mainly_vertical_resultant_forces	79
many_people	80
maximal_intended_velocity_training	81
maximum_muscle_engagement	82
medial_triceps	83
medially_directed_resultant_forces	84
medium_and_wide_grip_widths	85
medium_grip_width	86
moments	87
more_force	88
more_load	89
more_muscle	90
more_weight	91
most_elite_lifters	92
most_force	93
most_novice_lifters	94
most_potential	95
motion	96
movement_pattern	97
muscle	98
muscle_activity	99
muscle_fibers	100
muscle_irradiation	101
muscles	102
narrow_grip_width	103
next_order	104
only_factor	105
other_two_heads	106
passive_elements	107
peak	108
pectoralis_major	109
pectoralis_majors_upper_portion	110
position	111
powerful_sternoclavicular_portion	112
powerlifters	113
proximal_prime_movers	114
repeat	115
retraction	116
same_testing_routine	117
same_way	118
scapula	119
scapular_retraction	120
serious_upper_body_strength	121
shoulder	122
shoulder_extension_moments	123
shoulder_flexion	124
shoulder_flexion_demands	125
similar_horizontal_forces	126
similar_shoulder	127
so_many_muscles	128
sticking_region	129
stretch_reflex_position	130
stronger_arm	131
stronger_triceps	132
subjects	133
support	134
technical_improvements	135
technique	136
torso	137
total_force_vector	138
triceps	139
triceps_contract	140
two_heads	141
typical_mens_barbell	142
upper_arms	143
upper_pecs	144
valsalva_maneuver	145
wide_and_medium_grip_widths	146
wide_grip	147
wide_grip_width	148
workload	149
wrist_position	150
