entity,neighbor_rank,neighbor,cosine_similarity
about_45,1,upper_arms,0.6597
about_45,2,excessive_lumbar_extension,0.2947
about_45,3,elbow,0.2718
about_45,4,pectoralis_majors_upper_portion,0.2672
about_45,5,back,0.2623
aid,1,more_weight,0.3262
aid,2,eccentric_phase,0.3098
aid,3,four_basic_ways,0.2467
aid,4,about_45,0.2346
aid,5,assists,0.2189
angle,1,muscle,0.3517
angle,2,similar_shoulder,0.3264
angle,3,lateral_triceps,0.3143
angle,4,triceps,0.2763
angle,5,greater_horizontal_shoulder_moments,0.2439
anterior_deltoid,1,incline_press,0.3723
anterior_deltoid,2,technique,0.2807
anterior_deltoid,3,retraction,0.2665
anterior_deltoid,4,shoulder_flexion_demands,0.2637
anterior_deltoid,5,floor,0.2291
anything,1,stronger_triceps,0.3088
anything,2,triceps,0.2923
anything,3,mainly_vertical_resultant_forces,0.2868
anything,4,medium_grip_width,0.2677
anything,5,entity_45_pounds,0.2647
article,1,light,0.6393
article,2,torso,0.3753
article,3,more_load,0.3485
article,4,stretch_reflex_position,0.3411
article,5,assists,0.3155
assists,1,torso,0.6558
assists,2,incline,0.4152
assists,3,four_basic_ways,0.3493
assists,4,motion,0.333
assists,5,article,0.3155
back,1,powerlifters,0.5949
back,2,about_45,0.2623
back,3,typical_mens_barbell,0.2362
back,4,medium_and_wide_grip_widths,0.2342
back,5,upper_arms,0.2187
bar,1,hand_off,0.447
bar,2,most_novice_lifters,0.3909
bar,3,flexor,0.3676
bar,4,elbow,0.3176
bar,5,gravity,0.285
bar_path,1,horizontal_flexion_demands,0.4377
bar_path,2,most_elite_lifters,0.404
bar_path,3,grip_width,0.267
bar_path,4,entity_15_decline,0.2557
bar_path,5,total_force_vector,0.2479
barbell_bench_press,1,muscles,0.2757
barbell_bench_press,2,most_novice_lifters,0.2748
barbell_bench_press,3,few_people,0.2656
barbell_bench_press,4,internal_moments,0.2297
barbell_bench_press,5,more_muscle,0.2295
bench,1,triceps,0.4835
bench,2,different_grip_widths,0.2824
bench,3,greater_shoulder_flexion_moment,0.2619
bench,4,anything,0.2397
bench,5,proximal_prime_movers,0.2325
bench_press,1,subjects,0.4728
bench_press,2,workload,0.4668
bench_press,3,chest_and_triceps_development,0.3465
bench_press,4,horizontal_force_component,0.246
bench_press,5,so_many_muscles,0.2323
bench_press_performance,1,maximal_intended_velocity_training,0.6059
bench_press_performance,2,wide_grip_width,0.3165
bench_press_performance,3,article,0.313
bench_press_performance,4,two_heads,0.2996
bench_press_performance,5,movement_pattern,0.286
both_pecs,1,triceps,0.3631
both_pecs,2,entity_30_inclination,0.3273
both_pecs,3,less_shoulder_horizontal_abduction,0.2649
both_pecs,4,subjects,0.2507
both_pecs,5,grip_width,0.2407
chest_and_triceps_development,1,bench_press,0.3465
chest_and_triceps_development,2,movement_pattern,0.3173
chest_and_triceps_development,3,subjects,0.2942
chest_and_triceps_development,4,typical_mens_barbell,0.209
chest_and_triceps_development,5,maximal_intended_velocity_training,0.1865
clavicular_part_sternocostal_part_abdominal_part,1,hand_off,0.2609
clavicular_part_sternocostal_part_abdominal_part,2,first_things,0.2528
clavicular_part_sternocostal_part_abdominal_part,3,same_testing_routine,0.2528
clavicular_part_sternocostal_part_abdominal_part,4,position,0.2424
clavicular_part_sternocostal_part_abdominal_part,5,horizontal_force_component,0.2232
contractile_force,1,only_factor,0.5363
contractile_force,2,decline_bench_press,0.3123
contractile_force,3,downward_force,0.253
contractile_force,4,same_testing_routine,0.2196
contractile_force,5,so_many_muscles,0.2187
current_grip,1,four_basic_ways,0.3234
current_grip,2,eccentric_phase,0.3087
current_grip,3,powerful_sternoclavicular_portion,0.2738
current_grip,4,motion,0.2551
current_grip,5,different_angles,0.2383
current_muscle_mass,1,long_head,0.2933
current_muscle_mass,2,muscle_fibers,0.2718
current_muscle_mass,3,medium_grip_width,0.2534
current_muscle_mass,4,horizontal_force_component,0.2351
current_muscle_mass,5,similar_horizontal_forces,0.2313
decline_bench_press,1,contractile_force,0.3123
decline_bench_press,2,more_force,0.2938
decline_bench_press,3,little_further_explanation,0.29
decline_bench_press,4,internal_moment_arm,0.2723
decline_bench_press,5,grip_width,0.2559
descent,1,next_order,0.5742
descent,2,wide_and_medium_grip_widths,0.3958
descent,3,bench_press_performance,0.2777
descent,4,first_things,0.2683
descent,5,only_factor,0.2411
different_angles,1,horizontal_flexion_demands,0.3087
different_angles,2,muscle,0.2941
different_angles,3,mainly_vertical_resultant_forces,0.2565
different_angles,4,upper_arms,0.2487
different_angles,5,current_grip,0.2383
different_grip_widths,1,internal_moments,0.337
different_grip_widths,2,elite_powerlifters,0.3104
different_grip_widths,3,distal_prime_movers,0.3018
different_grip_widths,4,grip_width,0.2862
different_grip_widths,5,bench,0.2824
distal_prime_movers,1,narrow_grip_width,0.4178
distal_prime_movers,2,little_further_explanation,0.3638
distal_prime_movers,3,different_grip_widths,0.3018
distal_prime_movers,4,laterally_directed_resultant_forces,0.2405
distal_prime_movers,5,support,0.2373
downward_force,1,lateral_forces,0.2799
downward_force,2,entity_45_pounds,0.2683
downward_force,3,contractile_force,0.253
downward_force,4,muscle_activity,0.2231
downward_force,5,triceps_contract,0.2003
eccentric_muscle_action,1,muscle,0.537
eccentric_muscle_action,2,eccentric_phase,0.2866
eccentric_muscle_action,3,elbow_extension,0.2771
eccentric_muscle_action,4,furniture,0.2683
eccentric_muscle_action,5,triceps_contract,0.2622
eccentric_phase,1,less_shoulder_horizontal_abduction,0.5508
eccentric_phase,2,more_force,0.332
eccentric_phase,3,aid,0.3098
eccentric_phase,4,current_grip,0.3087
eccentric_phase,5,eccentric_muscle_action,0.2866
elbow,1,bar,0.3176
elbow,2,upper_arms,0.2915
elbow,3,different_grip_widths,0.2768
elbow,4,about_45,0.2718
elbow,5,triceps,0.2604
elbow_extension,1,two_heads,0.5585
elbow_extension,2,proximal_prime_movers,0.2953
elbow_extension,3,scapula,0.2902
elbow_extension,4,passive_elements,0.2879
elbow_extension,5,eccentric_muscle_action,0.2771
elbow_extensor_moment,1,flexor,0.5744
elbow_extensor_moment,2,bar,0.2409
elbow_extensor_moment,3,moments,0.239
elbow_extensor_moment,4,two_heads,0.2178
elbow_extensor_moment,5,shoulder_flexion,0.2168
elbow_flexion_moments,1,sticking_region,0.3243
elbow_flexion_moments,2,wide_and_medium_grip_widths,0.2853
elbow_flexion_moments,3,flexor,0.2685
elbow_flexion_moments,4,elite_athletes,0.2648
elbow_flexion_moments,5,gravity,0.2607
elite_athletes,1,muscle,0.2959
elite_athletes,2,elbow_flexion_moments,0.2648
elite_athletes,3,grip_width,0.2615
elite_athletes,4,injury_risk,0.2479
elite_athletes,5,incline,0.2465
elite_powerlifters,1,extra_kick,0.3734
elite_powerlifters,2,different_grip_widths,0.3104
elite_powerlifters,3,incline_bench_press,0.2538
elite_powerlifters,4,mainly_vertical_resultant_forces,0.2334
elite_powerlifters,5,more_muscle,0.2325
entity_131157_lateral_forces,1,wide_grip,0.4563
entity_131157_lateral_forces,2,gravity,0.2792
entity_131157_lateral_forces,3,inches,0.2787
entity_131157_lateral_forces,4,technical_improvements,0.238
entity_131157_lateral_forces,5,stronger_triceps,0.2373
entity_15_decline,1,lower_pectoralis_major,0.5709
entity_15_decline,2,similar_shoulder,0.2921
entity_15_decline,3,horizontal_force_component,0.2803
entity_15_decline,4,more_load,0.2728
entity_15_decline,5,movement_pattern,0.2687
