relation	id
abducts	0
actsOnJoint	1
address	2
affect_of	3
affectsBiomechanics	4
aid	5
appliesforce	6
arch	7
build	8
calculate	9
challenge	10
check	11
contribute	12
create	13
create_of	14
create_on	15
cross	16
decreases	17
demand	18
demonstrate	19
drive	20
enable	21
engage	22
enter	23
equal	24
exert_of	25
extends	26
flexes	27
generate_in	28
give	29
graze	30
help	31
impose	32
increases	33
induce_in	34
influence_in	35
influence_of	36
influences	37
investigate_of	38
involves	39
lower	40
maximize	41
move	42
need	43
negate_of	44
perform	45
perform_with	46
place	47
prefer	48
produce_of	49
produces	50
pull	51
rack	52
reduces	53
relatedTo	54
requires	55
shave	56
shed	57
stabilize	58
supinate	59
support	60
take	61
target_of	62
targetsmuscle	63
touch_for	64
train_of	65
utilize	66
weigh	67
