head	relation	tail	raw_subject	raw_predicate	raw_object
angle	target_of	muscle	http://example.org/benchpress-kg/angle	http://example.org/benchpress-kg/target_of	http://example.org/benchpress-kg/muscle
article	address	bar_path	http://example.org/benchpress-kg/article	http://example.org/benchpress-kg/address	http://example.org/benchpress-kg/bar_path
article	shed	light	http://example.org/benchpress-kg/article	http://example.org/benchpress-kg/shed	http://example.org/benchpress-kg/light
assists	stabilize	torso	http://example.org/benchpress-kg/assists	http://example.org/benchpress-kg/stabilize	http://example.org/benchpress-kg/torso
bar	appliesforce	downward_force	http://example.org/benchpress-kg/bar	http://example.org/benchpress-kg/appliesforce	http://example.org/benchpress-kg/downward_force
bar	exert_of	force	http://example.org/benchpress-kg/bar	http://example.org/benchpress-kg/exert_of	http://example.org/benchpress-kg/force
bar	extends	elbow	http://example.org/benchpress-kg/bar	http://example.org/benchpress-kg/extends	http://example.org/benchpress-kg/elbow
bar	graze	pectoralis_major	http://example.org/benchpress-kg/bar	http://example.org/benchpress-kg/graze	http://example.org/benchpress-kg/pectoralis_major
bar	impose	elbow_extensor_moment	http://example.org/benchpress-kg/bar	http://example.org/benchpress-kg/impose	http://example.org/benchpress-kg/elbow_extensor_moment
bar	impose	flexor	http://example.org/benchpress-kg/bar	http://example.org/benchpress-kg/impose	http://example.org/benchpress-kg/flexor
bar	touch_for	maximum_muscle_engagement	http://example.org/benchpress-kg/bar	http://example.org/benchpress-kg/touch_for	http://example.org/benchpress-kg/maximum_muscle_engagement
bar_path	influences	horizontal_flexion_demands	http://example.org/benchpress-kg/bar_path	http://example.org/benchpress-kg/influences	http://example.org/benchpress-kg/horizontal_flexion_demands
barbell_bench_press	build	serious_upper_body_strength	http://example.org/benchpress-kg/barbell_bench_press	http://example.org/benchpress-kg/build	http://example.org/benchpress-kg/serious_upper_body_strength
bench	train_of	triceps	http://example.org/benchpress-kg/bench	http://example.org/benchpress-kg/train_of	http://example.org/benchpress-kg/triceps
bench_press	engage	so_many_muscles	http://example.org/benchpress-kg/bench_press	http://example.org/benchpress-kg/engage	http://example.org/benchpress-kg/so_many_muscles
bench_press	maximize	chest_and_triceps_development	http://example.org/benchpress-kg/bench_press	http://example.org/benchpress-kg/maximize	http://example.org/benchpress-kg/chest_and_triceps_development
bench_press	reduces	workload	http://example.org/benchpress-kg/bench_press	http://example.org/benchpress-kg/reduces	http://example.org/benchpress-kg/workload
clavicular_part_sternocostal_part_abdominal_part	affect_of	muscle	http://example.org/benchpress-kg/clavicular_part_sternocostal_part_abdominal_part	http://example.org/benchpress-kg/affect_of	http://example.org/benchpress-kg/muscle
current_grip	give	most_potential	http://example.org/benchpress-kg/current_grip	http://example.org/benchpress-kg/give	http://example.org/benchpress-kg/most_potential
current_muscle_mass	produces	more_force	http://example.org/benchpress-kg/current_muscle_mass	http://example.org/benchpress-kg/produces	http://example.org/benchpress-kg/more_force
decline_bench_press	produce_of	lower_pectoralis_major	http://example.org/benchpress-kg/decline_bench_press	http://example.org/benchpress-kg/produce_of	http://example.org/benchpress-kg/lower_pectoralis_major
descent	lower	bar	http://example.org/benchpress-kg/descent	http://example.org/benchpress-kg/lower	http://example.org/benchpress-kg/bar
different_angles	affect_of	muscle	http://example.org/benchpress-kg/different_angles	http://example.org/benchpress-kg/affect_of	http://example.org/benchpress-kg/muscle
different_grip_widths	influence_of	distal_prime_movers	http://example.org/benchpress-kg/different_grip_widths	http://example.org/benchpress-kg/influence_of	http://example.org/benchpress-kg/distal_prime_movers
eccentric_phase	relatedTo	less_shoulder_horizontal_abduction	http://example.org/benchpress-kg/eccentric_phase	http://example.org/benchpress-kg/relatedTo	http://example.org/benchpress-kg/less_shoulder_horizontal_abduction
eccentric_phase	requires	less_shoulder_horizontal_abduction	http://example.org/benchpress-kg/eccentric_phase	http://example.org/benchpress-kg/requires	http://example.org/benchpress-kg/less_shoulder_horizontal_abduction
elite_athletes	perform	valsalva_maneuver	http://example.org/benchpress-kg/elite_athletes	http://example.org/benchpress-kg/perform	http://example.org/benchpress-kg/valsalva_maneuver
elite_powerlifters	perform_with	excessive_lumbar_extension	http://example.org/benchpress-kg/elite_powerlifters	http://example.org/benchpress-kg/perform_with	http://example.org/benchpress-kg/excessive_lumbar_extension
entity_15_decline	produce_of	lower_pectoralis_major	http://example.org/benchpress-kg/entity_15_decline	http://example.org/benchpress-kg/produce_of	http://example.org/benchpress-kg/lower_pectoralis_major
entity_30_inclination	produce_of	pectoralis_majors_upper_portion	http://example.org/benchpress-kg/entity_30_inclination	http://example.org/benchpress-kg/produce_of	http://example.org/benchpress-kg/pectoralis_majors_upper_portion
few_people	prefer	retraction	http://example.org/benchpress-kg/few_people	http://example.org/benchpress-kg/prefer	http://example.org/benchpress-kg/retraction
first_things	check	wrist_position	http://example.org/benchpress-kg/first_things	http://example.org/benchpress-kg/check	http://example.org/benchpress-kg/wrist_position
force	need	little_further_explanation	http://example.org/benchpress-kg/force	http://example.org/benchpress-kg/need	http://example.org/benchpress-kg/little_further_explanation
gravity	pull	bar	http://example.org/benchpress-kg/gravity	http://example.org/benchpress-kg/pull	http://example.org/benchpress-kg/bar
greater_shoulder_flexion_moment	create_on	proximal_prime_movers	http://example.org/benchpress-kg/greater_shoulder_flexion_moment	http://example.org/benchpress-kg/create_on	http://example.org/benchpress-kg/proximal_prime_movers
grip_width	affectsBiomechanics	horizontal_flexion_demands	http://example.org/benchpress-kg/grip_width	http://example.org/benchpress-kg/affectsBiomechanics	http://example.org/benchpress-kg/horizontal_flexion_demands
grip_width	influences	horizontal_flexion_demands	http://example.org/benchpress-kg/grip_width	http://example.org/benchpress-kg/influences	http://example.org/benchpress-kg/horizontal_flexion_demands
grip_widths	demonstrate	similar_horizontal_forces	http://example.org/benchpress-kg/grip_widths	http://example.org/benchpress-kg/demonstrate	http://example.org/benchpress-kg/similar_horizontal_forces
hand_off	take	bar	http://example.org/benchpress-kg/hand_off	http://example.org/benchpress-kg/take	http://example.org/benchpress-kg/bar
horizontal_flexion_demands	challenge	pectoralis_major	http://example.org/benchpress-kg/horizontal_flexion_demands	http://example.org/benchpress-kg/challenge	http://example.org/benchpress-kg/pectoralis_major
horizontal_forces	investigate_of	horizontal_force_component	http://example.org/benchpress-kg/horizontal_forces	http://example.org/benchpress-kg/investigate_of	http://example.org/benchpress-kg/horizontal_force_component
incline	challenge	upper_pecs	http://example.org/benchpress-kg/incline	http://example.org/benchpress-kg/challenge	http://example.org/benchpress-kg/upper_pecs
incline_bench_press	produce_of	pectoralis_majors_upper_portion	http://example.org/benchpress-kg/incline_bench_press	http://example.org/benchpress-kg/produce_of	http://example.org/benchpress-kg/pectoralis_majors_upper_portion
incline_press	targetsmuscle	anterior_deltoid	http://example.org/benchpress-kg/incline_press	http://example.org/benchpress-kg/targetsmuscle	http://example.org/benchpress-kg/anterior_deltoid
increases	shave	inches	http://example.org/benchpress-kg/increases	http://example.org/benchpress-kg/shave	http://example.org/benchpress-kg/inches
internal_moment_arm	involves	joint_angles	http://example.org/benchpress-kg/internal_moment_arm	http://example.org/benchpress-kg/involves	http://example.org/benchpress-kg/joint_angles
internal_moment_arm	relatedTo	joint_angles	http://example.org/benchpress-kg/internal_moment_arm	http://example.org/benchpress-kg/relatedTo	http://example.org/benchpress-kg/joint_angles
internal_moments	calculate	same_way	http://example.org/benchpress-kg/internal_moments	http://example.org/benchpress-kg/calculate	http://example.org/benchpress-kg/same_way
kinds	move	furniture	http://example.org/benchpress-kg/kinds	http://example.org/benchpress-kg/move	http://example.org/benchpress-kg/furniture
kinematic_factors	influence_in	injury_risk	http://example.org/benchpress-kg/kinematic_factors	http://example.org/benchpress-kg/influence_in	http://example.org/benchpress-kg/injury_risk
lateral_triceps	increases	muscle_activity	http://example.org/benchpress-kg/lateral_triceps	http://example.org/benchpress-kg/increases	http://example.org/benchpress-kg/muscle_activity
lifter	perform	same_testing_routine	http://example.org/benchpress-kg/lifter	http://example.org/benchpress-kg/perform	http://example.org/benchpress-kg/same_testing_routine
long_head	cross	shoulder	http://example.org/benchpress-kg/long_head	http://example.org/benchpress-kg/cross	http://example.org/benchpress-kg/shoulder
many_people	supinate	forearms	http://example.org/benchpress-kg/many_people	http://example.org/benchpress-kg/supinate	http://example.org/benchpress-kg/forearms
maximal_intended_velocity_training	induce_in	bench_press_performance	http://example.org/benchpress-kg/maximal_intended_velocity_training	http://example.org/benchpress-kg/induce_in	http://example.org/benchpress-kg/bench_press_performance
medial_triceps	increases	muscle_activity	http://example.org/benchpress-kg/medial_triceps	http://example.org/benchpress-kg/increases	http://example.org/benchpress-kg/muscle_activity
medium_and_wide_grip_widths	decreases	shoulder_extension_moments	http://example.org/benchpress-kg/medium_and_wide_grip_widths	http://example.org/benchpress-kg/decreases	http://example.org/benchpress-kg/shoulder_extension_moments
medium_grip_width	create	elbow_flexion_moments	http://example.org/benchpress-kg/medium_grip_width	http://example.org/benchpress-kg/create	http://example.org/benchpress-kg/elbow_flexion_moments
medium_grip_width	create	mainly_vertical_resultant_forces	http://example.org/benchpress-kg/medium_grip_width	http://example.org/benchpress-kg/create	http://example.org/benchpress-kg/mainly_vertical_resultant_forces
more_weight	equal	more_muscle	http://example.org/benchpress-kg/more_weight	http://example.org/benchpress-kg/equal	http://example.org/benchpress-kg/more_muscle
most_elite_lifters	utilize	bar_path	http://example.org/benchpress-kg/most_elite_lifters	http://example.org/benchpress-kg/utilize	http://example.org/benchpress-kg/bar_path
most_novice_lifters	drive	bar	http://example.org/benchpress-kg/most_novice_lifters	http://example.org/benchpress-kg/drive	http://example.org/benchpress-kg/bar
motion	reduces	powerful_sternoclavicular_portion	http://example.org/benchpress-kg/motion	http://example.org/benchpress-kg/reduces	http://example.org/benchpress-kg/powerful_sternoclavicular_portion
movement_pattern	lower	bar	http://example.org/benchpress-kg/movement_pattern	http://example.org/benchpress-kg/lower	http://example.org/benchpress-kg/bar
muscle	perform	eccentric_muscle_action	http://example.org/benchpress-kg/muscle	http://example.org/benchpress-kg/perform	http://example.org/benchpress-kg/eccentric_muscle_action
